### Smoothing Techniques Applied to Telugu Bigram Corpus
This file contains smoothed probabilities for each bigram using three techniques:

1. Add-One Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + 1) / (count(w₁) + V)
2. Add-K Smoothing (k = 0.3):
   P(w₂ | w₁) = (count(w₁, w₂) + k) / (count(w₁) + k × V)
3. Token Type Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + weight(w₂)) / (∑ bigram_counts + ∑ token_type_weights)

Bigram	Count	PrefixCount	AddOne	AddK	TokenType
('పేర్కొంటున్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'మనలో')	1	1945	0.000195	0.000293	0.000074
('మనలో', 'చాలా')	1	1	0.000241	0.000521	0.000074
('చాలా', 'మంది')	4	46	0.000599	0.001694	0.000163
('మంది', 'విద్యుత్')	1	24	0.000240	0.000517	0.000074
('విద్యుత్', 'పొదుపు')	1	5	0.000241	0.000521	0.000074
('పొదుపు', 'చేయాలి')	1	2	0.000241	0.000521	0.000074
('చేయాలి', 'అని')	1	3	0.000241	0.000521	0.000074
('అని', 'విన్నాను')	1	43	0.000240	0.000513	0.000074
('విన్నాను', '</s>')	2	2	0.000361	0.000922	0.000089
('<s>', 'ఎందుకు')	2	1945	0.000293	0.000518	0.000104
('ఎందుకు', '</s>')	2	9	0.000361	0.000920	0.000089
('<s>', 'అందంగా')	1	1945	0.000195	0.000293	0.000074
('అందంగా', 'చాలా')	1	1	0.000241	0.000521	0.000074
('చాలా', 'సంస్కరణలు')	1	46	0.000239	0.000512	0.000074
('సంస్కరణలు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'కొన్ని')	3	1945	0.000390	0.000744	0.000133
('కొన్ని', 'నమ్మకం')	1	19	0.000240	0.000518	0.000074
('నమ్మకం', 'శక్తి')	1	3	0.000241	0.000521	0.000074
('శక్తి', 'సేవ్')	2	5	0.000361	0.000921	0.000104
('సేవ్', 'లేకపోతే')	1	3	0.000241	0.000521	0.000074
('లేకపోతే', ',')	1	2	0.000241	0.000521	0.000074
(',', 'దీన్ని')	1	549	0.000226	0.000427	0.000074
('దీన్ని', 'చెయ్యవచ్చు')	1	2	0.000241	0.000521	0.000074
('చెయ్యవచ్చు', 'చౌక')	1	1	0.000241	0.000521	0.000074
('చౌక', 'కాదు')	1	1	0.000241	0.000521	0.000074
('కాదు', '</s>')	9	18	0.001201	0.003705	0.000296
('<s>', 'ఎవరైనా')	1	1945	0.000195	0.000293	0.000074
('ఎవరైనా', 'అది')	1	1	0.000241	0.000521	0.000074
('అది', 'కూడా')	1	20	0.000240	0.000517	0.000074
('కూడా', 'విద్యుత్')	1	93	0.000238	0.000503	0.000074
('విద్యుత్', 'మూలం')	1	5	0.000241	0.000521	0.000074
('మూలం', 'ఆదా')	1	1	0.000241	0.000521	0.000074
('ఆదా', 'చెప్పారు')	1	1	0.000241	0.000521	0.000074
('చెప్పారు', '</s>')	16	16	0.002043	0.006499	0.000503
('<s>', 'కానీ')	22	1945	0.002243	0.005026	0.000696
('కానీ', 'ఎవరూ')	1	36	0.000240	0.000514	0.000074
('ఎవరూ', 'అది')	1	3	0.000241	0.000521	0.000074
('అది', 'శక్తి')	1	20	0.000240	0.000517	0.000074
('సేవ్', 'అవసరం')	1	3	0.000241	0.000521	0.000074
('అవసరం', 'ఎందుకు')	1	13	0.000240	0.000519	0.000074
('ఎందుకు', 'అనే')	1	9	0.000241	0.000520	0.000074
('అనే', 'ప్రశ్న')	1	21	0.000240	0.000517	0.000074
('ప్రశ్న', 'పై')	1	2	0.000241	0.000521	0.000074
('పై', 'చాలా')	1	1	0.000241	0.000521	0.000074
('చాలా', 'ప్రత్యేకంగా')	1	46	0.000239	0.000512	0.000074
('ప్రత్యేకంగా', 'చెప్పగలను')	1	1	0.000241	0.000521	0.000074
('చెప్పగలను', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', ',')	1	1945	0.000195	0.000293	0.000074
(',', 'సాధారణ')	1	549	0.000226	0.000427	0.000074
('సాధారణ', 'హక్కుకు')	1	4	0.000241	0.000521	0.000074
('హక్కుకు', 'మరియు')	1	1	0.000241	0.000521	0.000074
('మరియు', 'ఆ')	1	36	0.000240	0.000514	0.000074
('ఆ', 'మరియు')	1	71	0.000239	0.000507	0.000074
('మరియు', 'ఇతరులు')	1	36	0.000240	0.000514	0.000074
('ఇతరులు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'ఇంధన')	1	1945	0.000195	0.000293	0.000074
('ఇంధన', 'వనరుల')	1	1	0.000241	0.000521	0.000074
('వనరుల', 'పొదుపు')	1	1	0.000241	0.000521	0.000074
('పొదుపు', 'ప్రయోజనం')	1	2	0.000241	0.000521	0.000074
('ప్రయోజనం', 'కోసం')	1	3	0.000241	0.000521	0.000074
('కోసం', 'విద్యుత్')	1	31	0.000240	0.000515	0.000074
('విద్యుత్', 'సేవ్')	1	5	0.000241	0.000521	0.000074
('సేవ్', 'మొదటి')	1	3	0.000241	0.000521	0.000074
('మొదటి', 'విషయం')	1	5	0.000241	0.000521	0.000074
('విషయం', '</s>')	1	12	0.000240	0.000519	0.000059
('<s>', 'అలాగే')	13	1945	0.001366	0.002997	0.000429
('అలాగే', ',')	1	18	0.000240	0.000518	0.000074
(',', 'పని')	2	549	0.000339	0.000756	0.000104
('పని', 'తొలగించబడుతుంది')	1	10	0.000240	0.000520	0.000074
('తొలగించబడుతుంది', 'పవర్')	1	1	0.000241	0.000521	0.000074
('పవర్', 'స్టేషన్')	1	7	0.000241	0.000520	0.000074
('స్టేషన్', 'చాలా')	1	7	0.000241	0.000520	0.000074
('చాలా', 'హానికరమైన')	1	46	0.000239	0.000512	0.000074
('హానికరమైన', 'వాయువులు')	1	1	0.000241	0.000521	0.000074
('వాయువులు', 'ఉంది')	1	1	0.000241	0.000521	0.000074
('ఉంది', '</s>')	61	68	0.007403	0.023944	0.001836
('<s>', 'ఈ')	87	1945	0.008584	0.019675	0.002620
('ఈ', 'సేకరించిన')	1	214	0.000235	0.000480	0.000074
('సేకరించిన', 'పదార్థాలు')	1	2	0.000241	0.000521	0.000074
('పదార్థాలు', 'హానికరం')	1	2	0.000241	0.000521	0.000074
('హానికరం', 'ప్రజలకు')	1	1	0.000241	0.000521	0.000074
('ప్రజలకు', 'కానీ')	1	2	0.000241	0.000521	0.000074
('కానీ', 'కూడా')	1	36	0.000240	0.000514	0.000074
('కూడా', 'పర్యావరణం')	1	93	0.000238	0.000503	0.000074
('పర్యావరణం', 'కోసం')	1	1	0.000241	0.000521	0.000074
('కోసం', 'మాత్రమే')	1	31	0.000240	0.000515	0.000074
('మాత్రమే', 'కాదు')	1	9	0.000241	0.000520	0.000074
('<s>', 'తెలంగాణ')	6	1945	0.000683	0.001420	0.000222
('తెలంగాణ', 'అంశం')	1	16	0.000240	0.000518	0.000074
('అంశం', 'చాలా')	1	3	0.000241	0.000521	0.000074
('చాలా', 'సున్నితమైనదని')	1	46	0.000239	0.000512	0.000074
('సున్నితమైనదని', ',')	1	1	0.000241	0.000521	0.000074
(',', 'దీనిపై')	2	549	0.000339	0.000756	0.000104
('దీనిపై', 'మరింత')	1	7	0.000241	0.000520	0.000074
('మరింత', 'లోతైన')	1	11	0.000240	0.000519	0.000074
('లోతైన', 'అధ్యయనం')	1	1	0.000241	0.000521	0.000074
('అధ్యయనం', 'కావాలని')	1	4	0.000241	0.000521	0.000074
('కావాలని', 'కాంగ్రెసు')	1	1	0.000241	0.000521	0.000074
('కాంగ్రెసు', 'పార్టీ')	1	2	0.000241	0.000521	0.000074
('పార్టీ', 'సీనియర్')	1	15	0.000240	0.000519	0.000074
('సీనియర్', 'నేత')	1	6	0.000241	0.000520	0.000074
('నేత', 'ఆస్కార్')	1	3	0.000241	0.000521	0.000074
('ఆస్కార్', 'ఫెర్నాండేజ్')	1	1	0.000241	0.000521	0.000074
('ఫెర్నాండేజ్', 'సోమవారం')	1	1	0.000241	0.000521	0.000074
('సోమవారం', 'గుంటూరు')	1	4	0.000241	0.000521	0.000074
('గుంటూరు', 'జిల్లాలో')	1	4	0.000241	0.000521	0.000074
('జిల్లాలో', 'అన్నారు')	1	4	0.000241	0.000521	0.000074
('అన్నారు', '</s>')	27	28	0.003359	0.010833	0.000829
('<s>', 'ఉమ్మడి')	1	1945	0.000195	0.000293	0.000074
('ఉమ్మడి', 'ఏపీ')	1	2	0.000241	0.000521	0.000074
('ఏపీ', 'ముఖ్యమంత్రి')	1	6	0.000241	0.000520	0.000074
('ముఖ్యమంత్రి', 'అంజయ్యను')	1	7	0.000241	0.000520	0.000074
('అంజయ్యను', 'దళితుడిగా')	1	1	0.000241	0.000521	0.000074
('దళితుడిగా', 'పేర్కొంటూ')	1	1	0.000241	0.000521	0.000074
('పేర్కొంటూ', 'మోడీ')	1	1	0.000241	0.000521	0.000074
('మోడీ', 'చేసిన')	1	4	0.000241	0.000521	0.000074
('చేసిన', 'వ్యాఖ్యల్ని')	1	26	0.000240	0.000516	0.000074
('వ్యాఖ్యల్ని', 'ఆయన')	1	1	0.000241	0.000521	0.000074
('ఆయన', 'ఇంటి')	1	32	0.000240	0.000515	0.000074
('ఇంటి', 'వారు')	1	5	0.000241	0.000521	0.000074
('వారు', '</s>')	1	22	0.000240	0.000517	0.000059
('<s>', 'కాంగ్రెస్')	1	1945	0.000195	0.000293	0.000074
('కాంగ్రెస్', 'నేతలు')	1	14	0.000240	0.000519	0.000074
('నేతలు', 'తీవ్రంగా')	1	6	0.000241	0.000520	0.000074
('తీవ్రంగా', 'తప్పు')	1	4	0.000241	0.000521	0.000074
('తప్పు', 'పడుతున్నారు')	1	4	0.000241	0.000521	0.000074
